region,contract,buyer,supplier,amount,award_date,start_date,end_date,link
Federal,Printing services,Environment and Climate Change Canada,RICOH CANADA INC.,"$12,499","Nov. 1, 2022","Nov. 1, 2022","Oct. 31, 2027",https://theijf.org/procurement/80005238_ec
Federal,"Rental of machinery, office furniture and fixtures and other equipment",Office of the Commissioner for Federal Judicial Affairs Canada,Ricoh Canada,"$10,502","Oct. 25, 2022","Nov. 1, 2022","Oct. 31, 2027",https://theijf.org/procurement/4f001_22_202_fja
Federal,"Rental of machinery, office furniture and fixtures and other equipment",Office of the Commissioner for Federal Judicial Affairs Canada,Ricoh Canada,"$14,003","Oct. 25, 2022","Nov. 1, 2022","Oct. 31, 2027",https://theijf.org/procurement/4f001_22_204_fja
Federal,"Rental of machinery, office furniture and fixtures and other equipment",Office of the Commissioner for Federal Judicial Affairs Canada,Ricoh Canada,"$14,643","Oct. 25, 2022","Nov. 1, 2022","Oct. 31, 2027",https://theijf.org/procurement/4f001_22_203_fja
Federal,"Rental of machinery, office furniture and fixtures and other equipment",National Defence,KONICA MINOLTA BUSINESS SOLUTIONS LTD.,"$12,377","Jul. 27, 2022","Sep. 1, 2022","Oct. 31, 2027",https://theijf.org/procurement/ssc_80784_dnd
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Veterans Affairs Canada,OQ MEASURES LLC,"$485,328","Sep. 14, 2022","Nov. 1, 2022","Oct. 31, 2027",https://theijf.org/procurement/51019_23_0107_vac
Federal,"Rental of machinery, office furniture and fixtures and other equipment",National Defence,RICOH,"$13,759","Aug. 24, 2022","Nov. 1, 2022","Oct. 31, 2027",https://theijf.org/procurement/ssc_81882_dnd
Federal,Printing services,Environment and Climate Change Canada,RICOH CANADA INC.,"$14,362","Nov. 1, 2022","Nov. 1, 2022","Oct. 31, 2027",https://theijf.org/procurement/80005342_ec
Federal,Engineering services not elsewhere specified,National Defence,General Electric Canada,"$178,250,000","Feb. 15, 2024","Nov. 1, 2021","Oct. 31, 2027",https://theijf.org/procurement/w8482_183029_001_fx_dnd
Federal,"RENTAL OF MACHINERY, OFFICE FURNITURE AND FIXTURES AND OTHER EQUIPMENT",Transport Canada,KONICA MINOLTA BUSINESS SOLUTIONS (CANADA) LTD.,"$15,795","Nov. 1, 2022","Nov. 1, 2022","Oct. 31, 2027",https://theijf.org/procurement/t8086_212100_tc
Federal,Other Health Services not Elsewhere Specified,Correctional Service of Canada,FISHER GARRY W,"$380,100","Nov. 1, 2022","Nov. 1, 2022","Oct. 31, 2027",https://theijf.org/procurement/21510_22_3831364_csc
Federal,"RENTAL OF MACHINERY, OFFICE FURNITURE AND FIXTURES AND OTHER EQUIPMENT",Transport Canada,KONICA MINOLTA BUSINESS SOLUTIONS (CANADA) LTD.,"$15,795","Nov. 1, 2022","Nov. 1, 2022","Oct. 31, 2027",https://theijf.org/procurement/t8086_212100_1_tc
Federal,Printing services,Environment and Climate Change Canada,RICOH CANADA INC.,"$11,633","Nov. 1, 2022","Nov. 1, 2022","Oct. 31, 2027",https://theijf.org/procurement/80005353_ec
Federal,"RENTAL OF MACHINERY, OFFICE FURNITURE AND FIXTURES AND OTHER EQUIPMENT",Transport Canada,KONICA MINOLTA BUSINESS SOLUTIONS (CANADA) LTD.,"$15,260","Nov. 10, 2022","Nov. 10, 2022","Oct. 31, 2027",https://theijf.org/procurement/t8086_212627_1_tc
Federal,"RENTAL OF MACHINERY, OFFICE FURNITURE AND FIXTURES AND OTHER EQUIPMENT",Transport Canada,KONICA MINOLTA BUSINESS SOLUTIONS (CANADA) LTD.,"$15,795","Sep. 1, 2022","Sep. 1, 2022","Oct. 31, 2027",https://theijf.org/procurement/t8086_212999_tc
Federal,Printing services,Environment and Climate Change Canada,RICOH CANADA INC.,"$15,607","Nov. 1, 2022","Nov. 1, 2022","Oct. 31, 2027",https://theijf.org/procurement/80005286_ec
Federal,Printing services,Environment and Climate Change Canada,RICOH CANADA INC.,"$22,420","Nov. 1, 2022","Nov. 1, 2022","Oct. 30, 2027",https://theijf.org/procurement/80005230_ec
Federal,"Rental of machinery, office furniture and fixtures and other equipment",Immigration and Refugee Board of Canada,KONICA MINOLTA BUSINESS SOLUTIONS,"$13,965","Oct. 1, 2023","Nov. 1, 2023","Oct. 30, 2027",https://theijf.org/procurement/8057882_irb
Federal,Printing services,Environment and Climate Change Canada,RICOH CANADA INC.,"$49,751","Nov. 1, 2022","Nov. 1, 2022","Oct. 30, 2027",https://theijf.org/procurement/80005235_ec
Federal,"Rental of Machinery, Office Furniture and Fixtures and Other Equipment",Correctional Service of Canada,RICOH CANADA INC,"$63,219","Aug. 17, 2022","Nov. 1, 2022","Oct. 30, 2027",https://theijf.org/procurement/21450_23_4194656_csc
Federal,"Computer equipment related to production and operations (P&O) environment-All servers, storage, printers, etc. (includes all related parts and peripherals)",Shared Services Canada,NORTHERN MICRO INC.,"$556,915","Oct. 28, 2022","Oct. 28, 2022","Oct. 27, 2027",https://theijf.org/procurement/p000042257_ssc
Federal,"Computer equipment related to production and operations (P&O) environment-All servers, storage, printers, etc. (includes all related parts and peripherals)",Shared Services Canada,COMPUTACENTER TERAMACH INC.,"$161,171","Oct. 28, 2022","Oct. 28, 2022","Oct. 27, 2027",https://theijf.org/procurement/p000042295_ssc
Federal,"Computer equipment related to production and operations (P&O) environment-All servers, storage, printers, etc. (includes all related parts and peripherals)",Shared Services Canada,ITEX INC,"$132,997","Oct. 28, 2022","Oct. 28, 2022","Oct. 27, 2027",https://theijf.org/procurement/p000042662_ssc
Federal,"Computer equipment related to production and operations (P&O) environment-All servers, storage, printers, etc. (includes all related parts and peripherals)",Shared Services Canada,COMPUTACENTER TERAMACH INC.,"$182,399","Oct. 28, 2022","Oct. 28, 2022","Oct. 27, 2027",https://theijf.org/procurement/p000042290_ssc
Federal,"Computer equipment related to production and operations (P&O) environment-All servers, storage, printers, etc. (includes all related parts and peripherals)",Shared Services Canada,PURELOGIC IT SOLUTIONS INC,"$204,723","Oct. 28, 2022","Oct. 28, 2022","Oct. 27, 2027",https://theijf.org/procurement/p000041787_ssc
Federal,Data and database access services,Canada Border Services Agency,International Air Transport Associa,"$46,936","Jul. 19, 2023","Oct. 27, 2023","Oct. 26, 2027",https://theijf.org/procurement/2024012223_cbsa
Federal,"Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",Shared Services Canada,IPSS INC.,"$13,671","Oct. 26, 2022","Oct. 26, 2022","Oct. 25, 2027",https://theijf.org/procurement/p000041740_ssc
Federal,"Computer equipment related to production and operations (P&O) environment-All servers, storage, printers, etc. (includes all related parts and peripherals)",Shared Services Canada,IPSS INC.,"$22,423","Oct. 26, 2022","Oct. 26, 2022","Oct. 25, 2027",https://theijf.org/procurement/p000041724_ssc
Federal,"Computer equipment related to production and operations (P&O) environment-All servers, storage, printers, etc. (includes all related parts and peripherals)",Shared Services Canada,COMPUCOM CANADA CO.,"$48,541","Oct. 25, 2022","Oct. 25, 2022","Oct. 24, 2027",https://theijf.org/procurement/p000041703_ssc
Federal,"Computer equipment related to production and operations (P&O) environment-All servers, storage, printers, etc. (includes all related parts and peripherals)",Shared Services Canada,THE IT BROKER INC.,"$171,619","Oct. 25, 2022","Oct. 25, 2022","Oct. 24, 2027",https://theijf.org/procurement/p000041657_ssc
Federal,"Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",Shared Services Canada,COMPUGEN INC.,"$14,951","Oct. 24, 2022","Oct. 24, 2022","Oct. 23, 2027",https://theijf.org/procurement/p000043340_ssc
Federal,"Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",Shared Services Canada,COMPUCOM CANADA CO.,"$16,408","Oct. 24, 2022","Oct. 24, 2022","Oct. 23, 2027",https://theijf.org/procurement/p000041581_ssc
Federal,"Computer equipment related to production and operations (P&O) environment-All servers, storage, printers, etc. (includes all related parts and peripherals)",Shared Services Canada,ITEX INC,"$29,091","Oct. 24, 2022","Oct. 24, 2022","Oct. 22, 2027",https://theijf.org/procurement/p000043063_ssc
Federal,License/Maintenance fees for networking software,Shared Services Canada,IPSS INC.,"$461,949","Oct. 21, 2022","Oct. 21, 2022","Oct. 20, 2027",https://theijf.org/procurement/p000041556_ssc
Federal,"Computer equipment related to production and operations (P&O) environment-All servers, storage, printers, etc. (includes all related parts and peripherals)",Shared Services Canada,NORTHERN MICRO INC.,"$4,103,802","Oct. 21, 2022","Oct. 21, 2022","Oct. 20, 2027",https://theijf.org/procurement/p000041653_ssc
Federal,"Computer equipment related to production and operations (P&O) environment-All servers, storage, printers, etc. (includes all related parts and peripherals)",Shared Services Canada,STONEWORKS TECHNOLOGIES INC,"$901,039","Oct. 5, 2022","Oct. 21, 2022","Oct. 20, 2027",https://theijf.org/procurement/p000041510_ssc
Federal,"Computer equipment related to production and operations (P&O) environment-All servers, storage, printers, etc. (includes all related parts and peripherals)",Shared Services Canada,COMPUTACENTER TERAMACH INC.,"$44,481","Oct. 5, 2022","Oct. 17, 2022","Oct. 17, 2027",https://theijf.org/procurement/p000041341_ssc
