region,contract,buyer,supplier,amount,award_date,start_date,end_date,link
Federal,Engineering consultants-Construction,National Defence,CAS-ELL STRUCTURES LTD.,"$34,001","Jun. 1, 2022","Jun. 1, 2022","Jul. 27, 2022",https://theijf.org/procurement/w689c_4502432650_dnd
Federal,Other equipment and Parts,National Defence,ACKLANDS-GRAINGER INC.,"$52,125","Jun. 1, 2022","Jun. 1, 2022","Sep. 30, 2022",https://theijf.org/procurement/w8475_4502431255_dnd
Federal,Aircraft parts,National Defence,Unisource Technology,"$95,804","Jun. 1, 2022","Jun. 1, 2022","Mar. 31, 2023",https://theijf.org/procurement/w8485_226567_001_dnd
Federal,Miscellaneous manufactured articles,National Defence,Scotia Pallets,"$125,434","Jun. 1, 2022","Jun. 1, 2022","Sep. 1, 2022",https://theijf.org/procurement/w8486_4502432675_dnd
Federal,Aviation fuel,National Defence,IRVING,"$13,405","Jun. 2, 2022","Jun. 2, 2022","Jun. 2, 2022",https://theijf.org/procurement/0102mn16673790_dnd
Federal,Aviation fuel,National Defence,IRVING,"$13,824","Jun. 2, 2022","Jun. 2, 2022","Jun. 2, 2022",https://theijf.org/procurement/0102mn16673792_dnd
Federal,Rental of aircraft,National Defence,Air Bravo Corp,"$19,686","Jun. 2, 2022","Jun. 3, 2022","Jun. 3, 2022",https://theijf.org/procurement/020_3crpg_22_23_dnd
Federal,Other office equipment and Parts,Environment and Climate Change Canada,NITAM SOLUTIONS INC.,"$237,912","Jun. 2, 2022","Jun. 2, 2022","Mar. 1, 2023",https://theijf.org/procurement/20221030a_ec
Federal,Other professional services not elsewhere specified,Canada Revenue Agency,Chatterhigh Communications Inc.,"$39,906","Jun. 2, 2022","Jun. 6, 2022","Aug. 31, 2023",https://theijf.org/procurement/2023005908_cra
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Canada Revenue Agency,Onpage Corporation,"$29,158","Jun. 2, 2022","Jun. 2, 2022","Jun. 1, 2025",https://theijf.org/procurement/2023006349_cra
Federal,Information Technology Consultants,Canada Border Services Agency,TEKsystems Canada Inc.,"$83,564","Jun. 2, 2022","Jun. 6, 2022","Sep. 30, 2022",https://theijf.org/procurement/2023006568_cbsa
Federal,Information Technology Consultants,Canada Border Services Agency,TEKsystems Canada Inc,"$50,426","Jun. 2, 2022","Jun. 6, 2022","Sep. 30, 2022",https://theijf.org/procurement/2023006571_cbsa
Federal,Information technology and telecommunications consultants,Canada Revenue Agency,Veritaaq Technology House Inc.,"$152,851","Jun. 2, 2022","Jun. 6, 2022","Mar. 31, 2024",https://theijf.org/procurement/2023006583_cra
Federal,Other Professional Services,Canada Border Services Agency,QMR Staffing Solutions Inc,"$29,696","Jun. 2, 2022","Jun. 2, 2022","Jun. 2, 2023",https://theijf.org/procurement/2023006611_cbsa
Federal,Other professional services not elsewhere specified,Canada Revenue Agency,Emerion-Cofomo & FMC in Joint Venture,"$169,432","Jun. 2, 2022","Jun. 20, 2022","Mar. 31, 2023",https://theijf.org/procurement/2023006669_cra
Federal,Data and database access services,Environment and Climate Change Canada,GARTNER CANADA CO FKA: GARTNER GROUP CANADA,"$205,444","Jun. 2, 2022","Jun. 2, 2022","Mar. 31, 2023",https://theijf.org/procurement/20230086a_ec
Federal,Office buildings,Canada Border Services Agency,The Dekker Group Inc,"$148,330","May 10, 2023","Jun. 2, 2022","Mar. 31, 2024",https://theijf.org/procurement/2024002176_cbsa
Federal,Aviation fuel,National Defence,SHELL AVIATION,"$15,549","Jun. 2, 2022","Jun. 2, 2022","Jun. 2, 2022",https://theijf.org/procurement/2106780487_dnd
Federal,Aviation fuel,National Defence,AEG FUELS,"$34,020","Jun. 2, 2022","Jun. 2, 2022","Jun. 2, 2022",https://theijf.org/procurement/2106805979_dnd
Federal,Usage of Inventory,Correctional Service of Canada,FLEX KNIT,"$60,454","Jun. 2, 2022","Jun. 2, 2022","Jul. 4, 2022",https://theijf.org/procurement/2113839_19_3032414_19_csc
Federal,Usage of Inventory,Correctional Service of Canada,FLEX KNIT,"$29,295","Jun. 2, 2022","Jun. 2, 2022","Jul. 4, 2022",https://theijf.org/procurement/2113839_19_3032414_20_csc
Federal,Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified,Correctional Service of Canada,COENTREPRISE CITE CARON,"$16,313","Jun. 2, 2022","Jun. 2, 2022","Mar. 31, 2023",https://theijf.org/procurement/21180_23_4127066_csc
Federal,Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified,Correctional Service of Canada,COENTREPRISE CITE CARON,"$16,313","Jun. 2, 2022","Jun. 2, 2022","Mar. 31, 2023",https://theijf.org/procurement/21180_23_4127070_csc
Federal,Light Fuel Oil,Correctional Service of Canada,MARITIME FUELS,"$74,422","Jun. 2, 2022","Jun. 2, 2022","Mar. 31, 2023",https://theijf.org/procurement/21231_23_4126378_csc
Federal,Institutional Buildings,Correctional Service of Canada,BIOVAC SYSTEM INC,"$22,506","Jun. 2, 2022","Jun. 2, 2022","Mar. 31, 2023",https://theijf.org/procurement/21301_19_2784453_45_csc
Federal,"Miscellaneous Food, Food Materials and Food Preparations, Including Beverages and Tobacco",Correctional Service of Canada,MEDALLION MILK CO LTD,"$15,747","Jun. 2, 2022","Jun. 2, 2022","Jun. 13, 2022",https://theijf.org/procurement/21368_23_4126815_csc
Federal,Pharmaceutical and Other Medicinal Products,Correctional Service of Canada,MCKESSON CANADA CORPORATION,"$51,451","Jun. 2, 2022","Jun. 2, 2022","Jun. 30, 2022",https://theijf.org/procurement/21401_23_4126827_csc
Federal,Institutional Buildings,Correctional Service of Canada,HYDRASTONE,"$44,918","Jun. 2, 2022","Jun. 2, 2022","Jul. 31, 2022",https://theijf.org/procurement/21422_23_4107888_csc
Federal,Physicians and Surgeons,Correctional Service of Canada,DR JANE GAINER,"$79,800","Jun. 2, 2022","Jun. 2, 2022","Jul. 31, 2024",https://theijf.org/procurement/21501_22_3818629_csc
Federal,Pharmaceutical and Other Medicinal Products,Correctional Service of Canada,MCKESSON CANADA CORPORATION,"$15,737","Jun. 2, 2022","Jun. 2, 2022","Jun. 30, 2022",https://theijf.org/procurement/21501_23_4127241_csc
Federal,Pharmaceutical and Other Medicinal Products,Correctional Service of Canada,MCKESSON CANADA CORPORATION,"$11,523","Jun. 2, 2022","Jun. 2, 2022","Jun. 19, 2022",https://theijf.org/procurement/21807_23_4125485_csc
Federal,Pharmaceutical and Other Medicinal Products,Correctional Service of Canada,MCKESSON CANADA CORPORATION,"$11,449","Jun. 2, 2022","Jun. 2, 2022","Jun. 19, 2022",https://theijf.org/procurement/21807_23_4125487_csc
Federal,Pharmaceutical and Other Medicinal Products,Correctional Service of Canada,MCKESSON CANADA CORPORATION,"$12,644","Jun. 2, 2022","Jun. 2, 2022","Jun. 19, 2022",https://theijf.org/procurement/21807_23_4125490_csc
Federal,Other Professional Services not Elsewhere Specified,Correctional Service of Canada,HENRI INVESTIGATIONS INC.,"$26,177","Jun. 2, 2022","Jun. 2, 2022","Sep. 30, 2022",https://theijf.org/procurement/21807_23_4128443_csc
