region,contract,buyer,supplier,amount,award_date,start_date,end_date,link
Federal,Safety and sanitation equipment and parts,Global Affairs Canada,Dasco Storage Solutions,"$15,773","Jan. 24, 2022","Jan. 24, 2022","Feb. 14, 2022",https://theijf.org/procurement/7437287_dfatd
Federal,Rental of aircraft,Royal Canadian Mounted Police,NORTH CARIBOO AIR,"$50,400","Jan. 28, 2022","Jan. 28, 2022","Feb. 14, 2022",https://theijf.org/procurement/7255669_rcmp
Federal,Management consulting,Royal Canadian Mounted Police,ACCENTURE INC.,"$184,868","Nov. 8, 2021","Nov. 8, 2021","Feb. 14, 2022",https://theijf.org/procurement/7254050_rcmp
Federal,Translation services,Global Affairs Canada,Lionbridge Ltd,"$39,778","Nov. 30, 2021","Nov. 30, 2021","Feb. 14, 2022",https://theijf.org/procurement/7435983_dfatd
Federal,Data and database access services,Global Affairs Canada,IBISWorld Limited,"$10,756","Feb. 15, 2021","Feb. 15, 2021","Feb. 14, 2022",https://theijf.org/procurement/7427412_dfatd
Federal,Miscellaneous manufactured articles,National Research Council Canada,INSTRON CORPORATION,"$18,818","Nov. 16, 2021","Nov. 16, 2021","Feb. 14, 2022",https://theijf.org/procurement/981836_nrc
Federal,"Repair of Measuring, controlling, laboratory, medical and optical instruments, apparatus and accessories",Fisheries and Oceans Canada,FLUIDIGM CORPORATION,"$49,050","Feb. 24, 2021","Feb. 24, 2021","Feb. 14, 2022",https://theijf.org/procurement/f5211_200710_dfo
Federal,Other professional services not elsewhere specified,Public Service Commission of Canada,"FLETCHER, SUSAN","$10,348","Feb. 14, 2022","Dec. 1, 2021","Dec. 31, 2021",https://theijf.org/procurement/d1120_18_2002_21_33_psc
Federal,Communications - Web Services Subscriptions,Health Canada,MCGRAW HILL INC,"$105,277","May 28, 2021","Feb. 15, 2021","Feb. 14, 2022",https://theijf.org/procurement/h102004431_hc
Federal,Special industry machinery,National Research Council Canada,CELLINK LLC,"$166,558","Sep. 27, 2021","Sep. 27, 2021","Feb. 14, 2022",https://theijf.org/procurement/979357_nrc
Federal,"Inorganic and organic chemicals, including plastics, rubber and products, and excluding tires and tubes",National Research Council Canada,BIOMERIEUX CANADA INC,"$19,776","Feb. 10, 2022","Feb. 10, 2022","Feb. 14, 2022",https://theijf.org/procurement/986318_nrc
Federal,Miscellaneous manufactured articles,National Defence,Grand & Toy,"$17,798","Nov. 25, 2021","Nov. 25, 2021","Feb. 14, 2022",https://theijf.org/procurement/e6tor_20nm01_001_kin_dnd
Federal,"Printed Matter, Including Books, Newspapers, Pictures, Manuscripts and Forms",Office of the Auditor General of Canada,PROQUEST LLC,"$20,314","Dec. 8, 2020","Feb. 15, 2021","Feb. 14, 2022",https://theijf.org/procurement/p2100231_oag
Federal,Other Business services not Elsewhere Specified,National Defence,WHOLESOME CRAVINGS,"$19,893","Feb. 11, 2022","Feb. 14, 2022","Feb. 14, 2022",https://theijf.org/procurement/al0114202202575_dnd
Federal,"Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",Shared Services Canada,CLICK NETWORKS INC.,"$10,861","Feb. 15, 2021","Feb. 15, 2021","Feb. 14, 2022",https://theijf.org/procurement/p000021106_ssc
Federal,License/Maintenance fees for Application Software (including COTS) & Application Development & Delivery Software,Women and Gender Equality Canada,Zycom Technology Inc.,"$17,079","Nov. 19, 2021","Nov. 19, 2021","Feb. 14, 2022",https://theijf.org/procurement/p2200175_wage
Federal,Other Business services not Elsewhere Specified,National Defence,WHOLESOME CRAVINGS,"$14,584","Feb. 7, 2022","Feb. 14, 2022","Feb. 14, 2022",https://theijf.org/procurement/ax0113202202456_dnd
Federal,Special industry machinery,National Research Council Canada,FISHER SCIENTIFIC LTD.,"$23,736","Dec. 8, 2021","Dec. 8, 2021","Feb. 14, 2022",https://theijf.org/procurement/983178_nrc
Federal,License/Maintenance fees for application software (including COTS) and application development and delivery software,National Research Council Canada,PROSIM INC.,"$13,325","Feb. 15, 2021","Feb. 15, 2021","Feb. 14, 2022",https://theijf.org/procurement/965747_nrc
Federal,"Computer equipment related to production and operations (P&O) environment-All servers, storage, printers, etc. (includes all related parts and peripherals)",National Defence,PureLogic IT Solutions Inc,"$437,584","Jan. 14, 2022","Jan. 14, 2022","Feb. 14, 2022",https://theijf.org/procurement/k000017713_dnd
Federal,Other equipment and Parts,National Research Council Canada,DYNAMIC SOURCE MANUFACTURING INC.,"$10,292","Dec. 13, 2021","Dec. 13, 2021","Feb. 14, 2022",https://theijf.org/procurement/983520_nrc
Federal,Printing services,Courts Administration Service,Der Graphics,"$13,883","Jan. 19, 2022","Feb. 14, 2022","Feb. 14, 2022",https://theijf.org/procurement/5x001_21_0889_cas
Federal,Protection services,Privy Council Office,T. Manson & Associates Ltd.,"$12,374","Dec. 22, 2021","Jan. 4, 2022","Feb. 14, 2022",https://theijf.org/procurement/6037662_pco
Federal,Diesel Fuel,Parks Canada,Parkland Industries Limited,"$13,483","Feb. 14, 2022","Feb. 14, 2022","Feb. 14, 2022",https://theijf.org/procurement/45446136_pc
Federal,Protection services,Privy Council Office,Adga Group Consultants Inc.,"$56,444","Jan. 6, 2022","Jan. 6, 2022","Feb. 14, 2022",https://theijf.org/procurement/6037687_pco
Federal,Data and database access services,Office of the Superintendent of Financial Institutions Canada,INFOPRO DIGITAL SERVICES LIMITED,"$10,050","Feb. 15, 2021","Feb. 15, 2021","Feb. 14, 2022",https://theijf.org/procurement/6033236_osfi
Federal,Translation services,Public Services and Procurement Canada,WTB LANGUAGE GROUP INC.,"$68,410","Feb. 15, 2021","Feb. 15, 2021","Feb. 14, 2022",https://theijf.org/procurement/200004120_pwgsc
