region,contract,buyer,supplier,amount,award_date,start_date,end_date,link
Federal,Information technology and telecommunications consultants,Employment and Social Development Canada,IPSS INC.,"$228,737","May 1, 2020","May 4, 2020","Sep. 30, 2021",https://theijf.org/procurement/4500006190_esdc
Federal,Management consulting,Employment and Social Development Canada,ALTIS PROFESSIONAL RECRUITMENT,"$13,052","May 1, 2020","May 1, 2020","Dec. 31, 2021",https://theijf.org/procurement/4500006191_esdc
Federal,Management consulting,Employment and Social Development Canada,PRICEWATERHOUSECOOPERS LLP,"$17,701,553","May 1, 2020","May 1, 2020","Dec. 11, 2020",https://theijf.org/procurement/4500006192_esdc
Federal,Scientific services,Fisheries and Oceans Canada,PRA INC,"$94,500","Jul. 7, 2021","May 1, 2020","Apr. 30, 2022",https://theijf.org/procurement/4500007926_dfo
Federal,NON PROFESSIONAL PERSONAL SERVICE CONTRACTS,Department of Justice Canada,IRON MOUNTAIN CANADA CORPORATION,"$32,200","May 1, 2020","May 1, 2020","May 31, 2021",https://theijf.org/procurement/4500143168_jus
Federal,NON PROFESSIONAL PERSONAL SERVICE CONTRACTS,Department of Justice Canada,IRON MOUNTAIN CANADA CORPORATION,"$91,980","May 1, 2020","May 1, 2020","May 31, 2021",https://theijf.org/procurement/4500143169_jus
Federal,NON PROFESSIONAL PERSONAL SERVICE CONTRACTS,Department of Justice Canada,IRON MOUNTAIN CANADA CORPORATION,"$141,750","May 1, 2020","May 1, 2020","May 31, 2021",https://theijf.org/procurement/4500143173_jus
Federal,NON PROFESSIONAL PERSONAL SERVICE CONTRACTS,Department of Justice Canada,IRON MOUNTAIN CANADA CORPORATION,"$173,250","May 1, 2020","May 1, 2020","May 31, 2021",https://theijf.org/procurement/4500143174_jus
Federal,NON PROFESSIONAL PERSONAL SERVICE CONTRACTS,Department of Justice Canada,IRON MOUNTAIN CANADA CORPORATION,"$146,900","May 1, 2020","May 1, 2020","Dec. 31, 2020",https://theijf.org/procurement/4500143175_jus
Federal,NON PROFESSIONAL PERSONAL SERVICE CONTRACTS,Department of Justice Canada,IRON MOUNTAIN CANADA CORPORATION,"$192,100","May 1, 2020","May 1, 2020","Dec. 31, 2020",https://theijf.org/procurement/4500143184_jus
Federal,COMPUTER SERVICES,Department of Justice Canada,CANADIAN TAX FOUNDATION,"$12,804","May 1, 2020","May 1, 2020","Apr. 30, 2021",https://theijf.org/procurement/4500143204_jus
Federal,OTHER PROFESSIONAL SERV. NOT ELSEWHERE SPECIFIED,Department of Justice Canada,UNIVERSITY OF NEW BRUNSWICK,"$29,900","May 1, 2020","May 1, 2020","Nov. 30, 2020",https://theijf.org/procurement/4500143220_jus
Federal,Tuition fees and costs of attending courses ,Public Health Agency of Canada,L. PAUL FRÉCHETTE CONSULTING,"$10,057","May 1, 2020","May 1, 2020","Sep. 17, 2020",https://theijf.org/procurement/4500406339_phac
Federal,"Measuring, controlling, laboratory, medical and op",Public Health Agency of Canada,EPPENDORF CANADA LTD,"$85,427","May 1, 2020","May 1, 2020","Apr. 30, 2023",https://theijf.org/procurement/4500410808_phac
Federal,"Measuring, controlling, laboratory, medical and optical instruments, apparatus and accessories",Public Health Agency of Canada,BD  BIOSCIENCES-CANADA,"$52,393","May 1, 2020","May 1, 2020","Sep. 30, 2021",https://theijf.org/procurement/4500410813_phac
Federal,Pharmaceutical and other medicinal products,Indigenous Services Canada,MCKESSON CANADA CORPORATION,"$10,201","May 1, 2020","May 1, 2020","Jun. 5, 2020",https://theijf.org/procurement/4500411011_isc
Federal,Translation services,Health Canada,RTG PROTECH INC.,"$19,775","May 1, 2020","May 1, 2020","Mar. 31, 2021",https://theijf.org/procurement/4500411036_hc
Federal,Protection services,Public Health Agency of Canada,CANADIAN CORPS OF COMMISSIONAIRES,"$602,129","May 1, 2020","May 1, 2020","Mar. 31, 2021",https://theijf.org/procurement/4500411154_phac
