region,contract,buyer,supplier,amount,award_date,start_date,end_date,link
Federal,Other professional services not elsewhere specified,National Defence,RIGHTWAY SANITATION,"$10,836","Oct. 27, 2021","Oct. 28, 2021","Nov. 7, 2021",https://theijf.org/procurement/w0142_22a092_dnd
Federal,Road motor vehicles Parts,National Defence,Y.B. Services Inc,"$7,680","Oct. 27, 2021","Oct. 27, 2021","Nov. 22, 2021",https://theijf.org/procurement/w1568_4502333406_dnd
Federal,Rental of motor and other vehicles,National Defence,Diving Force Iqaluit,"$27,603","Oct. 27, 2021","Oct. 29, 2021","Dec. 20, 2021",https://theijf.org/procurement/w1568_4502387983_dnd
Federal,Wood and articles of wood,National Defence,Lefebvre et Benoit,"$45,649","Oct. 27, 2021","Oct. 27, 2021","Nov. 8, 2021",https://theijf.org/procurement/w1941_4502335224_dnd
Federal,Miscellaneous manufactured articles,National Defence,GAB-INDUSPAC,"$10,222","Oct. 27, 2021","Nov. 3, 2021","Dec. 13, 2021",https://theijf.org/procurement/w1941_4502341780_dnd
Federal,Rental of aircraft,National Defence,Ten Barrel Inc. dba Nomad Air,"$92,660","Oct. 27, 2021","Oct. 27, 2021","Nov. 5, 2021",https://theijf.org/procurement/w2037_22_0083_dnd
Federal,"Electric lighting, distribution and control equipment and Parts",National Defence,Guillevin International Co,"$10,011","Oct. 27, 2021","Nov. 3, 2021","Feb. 1, 2022",https://theijf.org/procurement/w2665_4502338047_dnd
Federal,Purchase of training packages and courses,National Defence,Global Knowledge Network,"$11,655","Oct. 27, 2021","Oct. 27, 2021","Jan. 2, 2022",https://theijf.org/procurement/w3028_4502334336_dnd
Federal,Transportation of things not elsewhere specified,National Defence,GAB-INDUSPAC,"$23,672","Oct. 27, 2021","Nov. 11, 2021","Nov. 11, 2021",https://theijf.org/procurement/w3162_4502333556_dnd
Federal,"Measuring, controlling, laboratory, medical and optical equipment and parts",National Defence,NDT PRODUCTS,"$24,917","Oct. 27, 2021","Oct. 27, 2021","Feb. 28, 2022",https://theijf.org/procurement/w3474_4502334269_dnd
Federal,Other Business services not Elsewhere Specified,National Defence,Revolution Events Inc,"$15,334","Oct. 27, 2021","Oct. 30, 2021","Dec. 8, 2021",https://theijf.org/procurement/w353b_4502334280_dnd
Federal,Computer equipment related to distributed computing environment (DCE)-Desktop/personal/portable (includes all related parts and peripherals),National Defence,Dell Canada Inc.,"$59,977","Oct. 27, 2021","Oct. 27, 2021","Mar. 31, 2022",https://theijf.org/procurement/w4129_22_0062_dnd
