region,contract,buyer,supplier,amount,award_date,start_date,end_date,link
Federal,Other Business services not Elsewhere Specified,Public Services and Procurement Canada,BULLETPROOF SOLUTIONS ULC,"$22,923","Apr. 1, 2021","Apr. 1, 2021","Mar. 31, 2022",https://theijf.org/procurement/700569804_pwgsc
Federal,Management consulting,Public Services and Procurement Canada,"USHER, CAPORDELIS, SEGUIN &","$18,300","Mar. 19, 2021","Mar. 19, 2021","Mar. 31, 2022",https://theijf.org/procurement/700569839_pwgsc
Federal,Other professional services not elsewhere specified,Public Services and Procurement Canada,GHD LIMITED,"$98,494","Mar. 19, 2021","Mar. 19, 2021","Mar. 31, 2022",https://theijf.org/procurement/700569849_pwgsc
Federal,Other engineering works,Public Services and Procurement Canada,H R DOORNEKAMP CONSTRUCTION LTD,"$39,381","Mar. 26, 2021","Mar. 26, 2021","Mar. 31, 2022",https://theijf.org/procurement/700570300_pwgsc
Federal,Training consultants,Public Services and Procurement Canada,DOMINIQUE LEMIEUX,"$39,301","Mar. 23, 2021","Apr. 1, 2021","Mar. 31, 2022",https://theijf.org/procurement/700570541_pwgsc
Federal,Other professional services not elsewhere specified,Public Services and Procurement Canada,PETROSUR LTEE,"$44,897","Jun. 29, 2021","Jun. 29, 2021","Mar. 31, 2022",https://theijf.org/procurement/700593363_pwgsc
Federal,Tuition fees and costs of attending courses including seminars not elsewhere specified,Public Services and Procurement Canada,3005526 Canada Inc.,"$28,284","Jun. 29, 2021","Jun. 29, 2021","Mar. 31, 2022",https://theijf.org/procurement/700593309_pwgsc
Federal,Protection services,Public Services and Procurement Canada,OTTAWA DIVISION - CANADIAN CORPS,"$108,897","Mar. 23, 2021","Apr. 1, 2021","Mar. 31, 2022",https://theijf.org/procurement/700570613_pwgsc
Federal,Protection services,Public Services and Procurement Canada,OTTAWA DIVISION - CANADIAN CORPS,"$186,891","Mar. 23, 2021","Apr. 1, 2021","Mar. 31, 2022",https://theijf.org/procurement/700570671_pwgsc
Federal,Office buildings,Public Services and Procurement Canada,JOHNSON CONTROLS CANADA LP,"$19,138","Mar. 23, 2021","Apr. 1, 2021","Mar. 31, 2022",https://theijf.org/procurement/700570744_pwgsc
Federal,Office buildings,Public Services and Procurement Canada,TOM JONES & SONS LIMITED,"$13,170","Jun. 29, 2021","Jun. 29, 2021","Mar. 31, 2022",https://theijf.org/procurement/700593294_pwgsc
Federal,Architectural services,Public Services and Procurement Canada,SABLEARC STUDIOS INC.,"$25,300","Feb. 24, 2021","Feb. 24, 2021","Mar. 31, 2022",https://theijf.org/procurement/700563958_pwgsc
Federal,Other professional services not elsewhere specified,Public Services and Procurement Canada,CBCI TELECOM,"$50,639","Apr. 1, 2021","Apr. 1, 2021","Mar. 31, 2022",https://theijf.org/procurement/700564086_pwgsc
Federal,"Electric lighting, distribution and control equipment",Public Services and Procurement Canada,EATON INDUSTRIES (CANADA) COMPANY,"$15,163","Feb. 24, 2021","Apr. 1, 2021","Mar. 31, 2022",https://theijf.org/procurement/700564178_pwgsc
Federal,Special industry machinery,Public Services and Procurement Canada,COLES ASSOCIATES LTD,"$14,375","Feb. 25, 2021","Feb. 25, 2021","Mar. 31, 2022",https://theijf.org/procurement/700564364_pwgsc
Federal,Other professional services not elsewhere specified,Public Services and Procurement Canada,WSP CANADA INC,"$34,824","Feb. 25, 2021","Feb. 25, 2021","Mar. 31, 2022",https://theijf.org/procurement/700564385_pwgsc
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Public Services and Procurement Canada,REFINITV CANADA HOLDINGS LIMITED,"$11,933","Feb. 25, 2021","Apr. 1, 2021","Mar. 31, 2022",https://theijf.org/procurement/700564448_pwgsc
Federal,Engineering Consultants - Other,Public Services and Procurement Canada,Republic Architecture Inc.,"$858,328","Feb. 25, 2021","Jul. 29, 2020","Mar. 31, 2022",https://theijf.org/procurement/700564630_pwgsc
Federal,Other professional services not elsewhere specified,Public Services and Procurement Canada,PLACEMAKING 4G CIC,"$39,963","Feb. 26, 2021","Feb. 26, 2021","Mar. 31, 2022",https://theijf.org/procurement/700564700_pwgsc
Federal,Ferrous metals,Public Services and Procurement Canada,SERRURIER EXCEL INC,"$11,367","Mar. 2, 2021","Apr. 1, 2021","Mar. 31, 2022",https://theijf.org/procurement/700565393_pwgsc
Federal,Other professional services not elsewhere specified,Public Services and Procurement Canada,GHD LIMITED,"$18,479","Jun. 28, 2021","Jun. 28, 2021","Mar. 31, 2022",https://theijf.org/procurement/700593118_pwgsc
Federal,Miscellaneous expenditures not Elsewhere Classified,Shared Services Canada,CHARLES HIGGERTY LIMITED,"$62,775","Jun. 28, 2021","Jun. 28, 2021","Mar. 31, 2022",https://theijf.org/procurement/700593101_ssc
Federal,Engineering consultants-Construction,Public Services and Procurement Canada,ISL ENGINEERING AND LAND SERVICES,"$43,885","Mar. 2, 2021","Mar. 2, 2021","Mar. 31, 2022",https://theijf.org/procurement/700565488_pwgsc
