region,contract,buyer,supplier,amount,award_date,start_date,end_date,link
Federal,0499 Other professional services not elsewhere specified,Parole Board of Canada,EVALUATION PERSONNEL SELECTION INTERNATIONAL INC,"$20,916","Mar. 31, 2021","Apr. 1, 2021","Mar. 31, 2023",https://theijf.org/procurement/p2200068_pbc
Federal,Other business services not elsewhere specified,National Research Council Canada,NEOPHARM LABS INC.,"$12,746","Aug. 31, 2021","Aug. 31, 2021","Mar. 31, 2023",https://theijf.org/procurement/977993_nrc
Federal,License/Maintenance fees for application software (including COTS) and application development and delivery software,Public Safety Canada,WOLTERS KLUWER CANADA LIMITED,"$31,586","Mar. 13, 2023","Mar. 13, 2023","Mar. 31, 2023",https://theijf.org/procurement/d160235416_ps
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Public Safety Canada,WOLTERS KLUWER CANADA LIMITED,"$58,275","Nov. 25, 2022","Nov. 25, 2022","Mar. 31, 2023",https://theijf.org/procurement/d160233274_ps
Federal,Other business services not elsewhere specified,National Research Council Canada,NEOPHARM LABS INC.,"$17,023","Sep. 15, 2021","Sep. 15, 2021","Mar. 31, 2023",https://theijf.org/procurement/978669_nrc
Federal,Communications professional services not Elsewhere Specified,Public Safety Canada,COSSETTE MEDIA INC,"$904,000","Oct. 6, 2022","Oct. 6, 2022","Mar. 31, 2023",https://theijf.org/procurement/d160232952_ps
Federal,Other professional services not elsewhere specified,Public Safety Canada,HILL & KNOWLTON CANADA,"$136,086","Nov. 23, 2022","Nov. 23, 2022","Mar. 31, 2023",https://theijf.org/procurement/d160232462_ps
Federal,License/Maintenance fees for application software (including COTS) and application development and delivery software,Public Safety Canada,QUALTRICS LLC,"$83,010","Jul. 25, 2022","Jul. 25, 2022","Mar. 31, 2023",https://theijf.org/procurement/d160231483_ps
Federal,Communications professional services not Elsewhere Specified,Public Safety Canada,COSSETTE COMMUNICATION INC,"$2,260,000","Jul. 18, 2022","Jul. 18, 2022","Mar. 31, 2023",https://theijf.org/procurement/d160231317_ps
Federal,Communications professional services not Elsewhere Specified,Public Safety Canada,COSSETTE COMMUNICATION INC,"$810,832","Jun. 10, 2022","Jun. 10, 2022","Mar. 31, 2023",https://theijf.org/procurement/d160231093_ps
Federal,Communications professional services not Elsewhere Specified,Public Safety Canada,COSSETTE COMMUNICATION INC,"$1,774,100","Jun. 13, 2022","Jun. 13, 2022","Mar. 31, 2023",https://theijf.org/procurement/d160230976_ps
Federal,Computer services (includes IT solutions/deliverables as well as IT managed services),Public Safety Canada,WORKDYNAMICS TECHNOLOGIES INC.,"$34,794","Nov. 7, 2022","Apr. 1, 2022","Mar. 31, 2023",https://theijf.org/procurement/d160226339_ps
Federal,License/Maintenance fees for networking software,Public Safety Canada,ESRI CANADA,"$28,476","Apr. 1, 2022","Apr. 1, 2022","Mar. 31, 2023",https://theijf.org/procurement/d160225263_ps
Federal,License/Maintenance fees for application software (including COTS) and application development and delivery software,Public Safety Canada,IMPACT FORECASTING LLC,"$70,000","Mar. 31, 2022","Mar. 31, 2022","Mar. 31, 2023",https://theijf.org/procurement/d160225258_ps
Federal,Communications professional services not Elsewhere Specified,Public Safety Canada,MEDIA Q INC.,"$83,620","Apr. 1, 2022","Apr. 1, 2022","Mar. 31, 2023",https://theijf.org/procurement/d160224990_ps
Federal,Communications professional services not Elsewhere Specified,Public Safety Canada,THE CANADIAN PRESS ENTERPRISES INC.,"$125,629","Feb. 28, 2022","Feb. 28, 2022","Mar. 31, 2023",https://theijf.org/procurement/d160224789_ps
Federal,Other Business services not Elsewhere Specified,National Defence,Évolution Inc,"$64,513","Feb. 1, 2023","Feb. 1, 2023","Mar. 31, 2023",https://theijf.org/procurement/da_220632_dnd
