region,name,type,buyer,open_date,close_date,status,link
Federal,FW053-230334-A Marine Diesel for CCGS John Cabot,Request for Proposal,Fisheries and Oceans Canada,"Aug 21, 2023","Aug 28, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws4157359425
Federal,21C41-230431 - Rubber Floor Tile and Adhesive,Request for Proposal,Correctional Service of Canada,"Aug 8, 2023","Aug 28, 2023",CLOSED,https://theijf.org/procurement/ws4132763336
Federal,Automotive Engine Repair Services for CFB Trenton,Request for Standing Offer,National Defence,"Aug 1, 2023","Aug 28, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws4074909462
Federal,EC095-230022 RMSO Bread and Rolls,Request for Standing Offer,Public Services and Procurement Canada,"Aug 21, 2023","Aug 25, 2023",CANCELLED,https://theijf.org/procurement/ws4085764426
Federal,"INVITATION TO SUBMIT AN EXPRESSION OF INTEREST (EOI) AS TO THE AVAILABILITY OF SPACE FOR LEASE IN ÎLE DU CAP AUX MEULES IN ÎLES-DE-LA-MADELEINE, QUEBEC FILE NUMBER: 81002829",Request for Information,Public Services and Procurement Canada,"Aug 10, 2023","Aug 26, 2023",CLOSED,https://theijf.org/procurement/81002829
Federal,EC095-230023 RMSO Bread and Rolls,Request for Standing Offer,Public Services and Procurement Canada,"Aug 21, 2023","Aug 25, 2023",CANCELLED,https://theijf.org/procurement/ws4085764426
Federal,INVITATION TO SUBMIT AN EXPRESSION OF INTEREST (EOI),Request for Information,Public Services and Procurement Canada,"Aug 1, 2023","Aug 25, 2023",CLOSED,https://theijf.org/procurement/81002291
Federal,Phase 2 EZ899-240220 HVAC Unit Replacement,Invitation to Tender,Public Services and Procurement Canada,"Aug 2, 2023","Aug 25, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws4074115778
Federal,PR5987 31184-239056 SF6 Analyzer,Request for Proposal,National Research Council Canada,"Aug 1, 2023","Aug 25, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws4003403039
Federal,EF245-240166 Reconditioning of John H. Chapman Space Center infrastructures,Request for Proposal,Canadian Space Agency,"Jul 7, 2023","Aug 25, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws4087564309
Federal,5P435-235054 Bulk Road Salt-C,Request for Standing Offer,Parks Canada,"Aug 15, 2023","Aug 25, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws4002251194
Federal,RFSA - Third Party Logistics,,Public Health Agency of Canada,"Jul 5, 2023","Aug 25, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws4005094157
Federal,6D063-226247 Genetic analyzer system - 2,Request for Proposal,Public Health Agency of Canada,"Aug 3, 2023","Aug 25, 2023",CLOSED,https://theijf.org/procurement/ws4038438417
Federal,EN439-231851 RFSO Construction Cost Specialist,Request for Standing Offer,Public Services and Procurement Canada,"Jun 12, 2023","Aug 25, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws4001457350
Federal,"F6140-230299 - Fiona Storm Damage Reconstruction and Repairs - Burnt Islands, NL",Invitation to Tender,Fisheries and Oceans Canada,"Aug 8, 2023","Aug 25, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws4136321437
Federal,Navtex Transmitters Equipment,Request for Proposal,Fisheries and Oceans Canada,"Jun 22, 2023","Aug 25, 2023","CLOSED, AWARDED",https://theijf.org/procurement/f7048-160040_a
Federal,F1782-23C081 – ACAN - Sir John Franklin Drydocking and Refit,Advance Contract Award Notice,Canadian Coast Guard,"Aug 10, 2023","Aug 25, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws4087117666
Federal,K8C13-240062 - X-Ray Fluorescence Analyser,Request for Proposal,Department of the Environment,"Jul 28, 2023","Aug 24, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws4017389377
Federal,EC095-230011 RMSO Kitchen Systems Maintenance,Request for Standing Offer,Public Services and Procurement Canada,"Aug 4, 2023","Aug 24, 2023",CLOSED,https://theijf.org/procurement/ws3863230888
Federal,"EE517-240560 Seaplane wharf demolition, Dredging and breakwater construction, La Romaine, QC",Request for Proposal,Transport Canada,"Jul 14, 2023","Aug 24, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws4092424517
Federal,"EZ899-240650 – Muncho Lake and Sikanni Hill Rockfall Mitigation, Km 255-256 and Km 700-704",Invitation to Tender,Public Services and Procurement Canada,"Aug 9, 2023","Aug 24, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws4139280086
Federal,EP922-240099 ECCC Large Sit Stands,Request for Proposal,Department of the Environment,"Aug 9, 2023","Aug 24, 2023","CANCELLED, AWARDED",https://theijf.org/procurement/ws4027617797
Federal,01799-230306 No-Till Grain Drill,Request for Proposal,Agriculture and Agri-Food Canada,"Aug 2, 2023","Aug 23, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws4083421289
Federal,31034-234243_B - Cryogenic Probe Station,Request for Proposal,National Research Council Canada,"Jul 24, 2023","Aug 23, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws3773861970
Federal,"E60HL-230020-B - Diesel Fuel, Automotive Gasoline, and Heating Fuel",Request for Standing Offer,Public Services and Procurement Canada,"Aug 4, 2023","Aug 23, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws4006758308
Federal,W0134-24R004 Anti-Icing Services,Request for Standing Offer,National Defence,"Aug 8, 2023","Aug 23, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws4115978607
Federal,Roof Replacement - Dorchester NB,Invitation to Tender,Correctional Service of Canada,"Aug 8, 2023","Aug 23, 2023",CLOSED,https://theijf.org/procurement/ws4136385670
Federal,Ride on Lawnmowers with Attachments-W0142-24X002,Request for Proposal,National Defence,"Jul 12, 2023","Aug 23, 2023","CANCELLED, AWARDED",https://theijf.org/procurement/ws4025615780
Federal,M2989-240948 - Patrol Vessels Lindsay and Higgitt - Engine Installations,Request for Proposal,Royal Canadian Mounted Police,"Jul 11, 2023","Aug 23, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws4044419474
Federal,TBIPS RFP – DEFENCEX Stream 1 for DND,Request for Proposal,National Defence,"Jul 11, 2023","Aug 23, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws4079116078
Federal,5A316-225481 - Water Analysis,Request for Proposal,Indigenous Services Canada,"Jul 19, 2023","Aug 23, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws3954393240
Federal,Cancelled-W8476-236698/A,Request for Information,National Defence,"Mar 14, 2023","Apr 6, 2023",CANCELLED,https://theijf.org/procurement/w8476-236698_a
Federal,01581-240099 Cultivator,Request for Proposal,Agriculture and Agri-Food Canada,"Jul 14, 2023","Aug 22, 2023","CANCELLED, AWARDED",https://theijf.org/procurement/ws4068767397
Federal,Managed Search Service,Request for Proposal,Employment and Social Development Canada,"Jul 17, 2023","Aug 22, 2023","CLOSED, AWARDED",https://theijf.org/procurement/g9292-227373_c
Federal,E6MON-230008-RFSO Hardware,Request for Standing Offer,Public Services and Procurement Canada,"Jul 5, 2023","Aug 22, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws4046218942
Federal,Close Protection Training Activities,Request for Proposal,National Defence,"Jun 5, 2023","Aug 22, 2023","CLOSED, AWARDED",https://theijf.org/procurement/ws3993459602
