region,contract,buyer,supplier,amount,award_date,start_date,end_date,link
Federal,Computer equipment related to Distributed Computing Environment (DCE) - Desktop/personal/portable (includes all related parts and peripherals),Canada Revenue Agency,Nisha Technologies Inc.,"$22,255","Nov. 10, 2022","Nov. 10, 2022","Feb. 28, 2023",https://theijf.org/procurement/2023028189_cra
Federal,Aviation fuel,National Defence,SHELL,"$30,770","Nov. 10, 2022","Nov. 10, 2022","Nov. 10, 2022",https://theijf.org/procurement/2107088515_dnd
Federal,Aviation fuel,National Defence,SHELL,"$30,816","Nov. 10, 2022","Nov. 10, 2022","Nov. 10, 2022",https://theijf.org/procurement/2107088518_dnd
Federal,Aviation fuel,National Defence,SHELL,"$26,466","Nov. 10, 2022","Nov. 10, 2022","Nov. 10, 2022",https://theijf.org/procurement/2107088520_dnd
Federal,Aviation fuel,National Defence,SHELL,"$36,520","Nov. 10, 2022","Nov. 10, 2022","Nov. 10, 2022",https://theijf.org/procurement/2107097282_dnd
Federal,"Miscellaneous food, food materials and food preparations",National Defence,Gate Gourmet Canada Inc,"$13,276","Nov. 10, 2022","Nov. 10, 2022","Nov. 10, 2022",https://theijf.org/procurement/2107117702_dnd
Federal,Other Vehicles,Correctional Service of Canada,BRANDT TRACTOR LTD,"$652,931","Nov. 10, 2022","Nov. 10, 2022","Jun. 9, 2023",https://theijf.org/procurement/21155_23_4127698_csc
Federal,Other Vehicles,Correctional Service of Canada,HITRAC (1974),"$1,068,970","Nov. 10, 2022","Nov. 10, 2022","Jul. 7, 2023",https://theijf.org/procurement/21155_24_4440572_csc
Federal,"Office Furniture and Furnishings, Including Parts",Correctional Service of Canada,NUA OFFICE INC,"$10,125","Feb. 27, 2023","Nov. 10, 2022","Mar. 31, 2023",https://theijf.org/procurement/21156_23_4250384_csc
Federal,"Office Furniture and Furnishings, Including Parts",Correctional Service of Canada,NUA OFFICE INC,"$11,553","Feb. 27, 2023","Nov. 10, 2022","Mar. 31, 2023",https://theijf.org/procurement/21156_23_4251981_csc
